time,default.Stair.time,default.Stair.counter
0.0,0.0,1.0
0.2,0.2,1.0
0.4,0.4,1.0
0.6000000000000001,0.6000000000000001,1.0
0.8,0.8,1.0
1.0,1.0,1.0
1.2,1.2,2.0
1.4,1.4,2.0
1.5999999999999999,1.5999999999999999,2.0
1.7999999999999998,1.7999999999999998,2.0
1.9999999999999998,1.9999999999999998,2.0
2.0,2.0,2.0
2.1999999999999997,2.1999999999999997,3.0
2.4,2.4,3.0
2.6,2.6,3.0
2.8000000000000003,2.8000000000000003,3.0
3.0,3.0,3.0
3.0000000000000004,3.0000000000000004,4.0
3.2000000000000006,3.2000000000000006,4.0
3.400000000000001,3.400000000000001,4.0
3.600000000000001,3.600000000000001,4.0
3.800000000000001,3.800000000000001,4.0
4.0,4.0,4.0
4.000000000000001,4.000000000000001,5.0
4.200000000000001,4.200000000000001,5.0
4.400000000000001,4.400000000000001,5.0
4.600000000000001,4.600000000000001,5.0
4.800000000000002,4.800000000000002,5.0
5.0,5.0,5.0
5.000000000000002,5.000000000000002,6.0
5.200000000000002,5.200000000000002,6.0
5.400000000000002,5.400000000000002,6.0
5.600000000000002,5.600000000000002,6.0
5.8000000000000025,5.8000000000000025,6.0
6.0,6.0,6.0
6.000000000000003,6.000000000000003,7.0
6.200000000000003,6.200000000000003,7.0
6.400000000000003,6.400000000000003,7.0
6.600000000000003,6.600000000000003,7.0
6.800000000000003,6.800000000000003,7.0
7.0,7.0,7.0
7.0000000000000036,7.0000000000000036,8.0
7.200000000000004,7.200000000000004,8.0
7.400000000000004,7.400000000000004,8.0
7.600000000000004,7.600000000000004,8.0
7.800000000000004,7.800000000000004,8.0
8.0,8.0,8.0
8.000000000000004,8.000000000000004,9.0
8.200000000000003,8.200000000000003,9.0
8.400000000000002,8.400000000000002,9.0
8.600000000000001,8.600000000000001,9.0
8.8,8.8,9.0
9.0,9.0,9.0
